time_iso8601,forks_cumulative
2023-11-27 00:00:00+00:00,34889
2023-11-28 00:00:00+00:00,34943
2023-11-29 00:00:00+00:00,35002
2023-11-30 00:00:00+00:00,35052
2023-12-01 00:00:00+00:00,35099
2023-12-02 00:00:00+00:00,35157
2023-12-03 00:00:00+00:00,35208
2023-12-04 00:00:00+00:00,35258
2023-12-05 00:00:00+00:00,35317
2023-12-06 00:00:00+00:00,35375
2023-12-07 00:00:00+00:00,35439
2023-12-08 00:00:00+00:00,35481
2023-12-09 00:00:00+00:00,35523
2023-12-10 00:00:00+00:00,35573
2023-12-11 00:00:00+00:00,35624
2023-12-12 00:00:00+00:00,35667
2023-12-13 00:00:00+00:00,35731
2023-12-14 00:00:00+00:00,35779
2023-12-15 00:00:00+00:00,35842
2023-12-16 00:00:00+00:00,35878
2023-12-17 00:00:00+00:00,35912
2023-12-18 00:00:00+00:00,35966
2023-12-19 00:00:00+00:00,36011
2023-12-20 00:00:00+00:00,36053
2023-12-21 00:00:00+00:00,36101
2023-12-22 00:00:00+00:00,36137
2023-12-23 00:00:00+00:00,36170
2023-12-24 00:00:00+00:00,36200
2023-12-25 00:00:00+00:00,36236
2023-12-26 00:00:00+00:00,36288
2023-12-27 00:00:00+00:00,36344
2023-12-28 00:00:00+00:00,36383
2023-12-29 00:00:00+00:00,36414
2023-12-30 00:00:00+00:00,36440
2023-12-31 00:00:00+00:00,36461
2024-01-01 00:00:00+00:00,36487
2024-01-02 00:00:00+00:00,36540
2024-01-03 00:00:00+00:00,36596
2024-01-04 00:00:00+00:00,36643
2024-01-05 00:00:00+00:00,36680
2024-01-06 00:00:00+00:00,36712
2024-01-07 00:00:00+00:00,36743
2024-01-08 00:00:00+00:00,36774
2024-01-09 00:00:00+00:00,36814
2024-01-10 00:00:00+00:00,36852
2024-01-11 00:00:00+00:00,36889
2024-01-12 00:00:00+00:00,36926
2024-01-13 00:00:00+00:00,36958
2024-01-14 00:00:00+00:00,36997
2024-01-15 00:00:00+00:00,37046
2024-01-16 00:00:00+00:00,37084
2024-01-17 00:00:00+00:00,37120
2024-01-18 00:00:00+00:00,37164
2024-01-19 00:00:00+00:00,37205
2024-01-20 00:00:00+00:00,37232
2024-01-21 00:00:00+00:00,37267
2024-01-22 00:00:00+00:00,37297
2024-01-23 00:00:00+00:00,37350
2024-01-24 00:00:00+00:00,37390
2024-01-25 00:00:00+00:00,37425
2024-01-26 00:00:00+00:00,37455
2024-01-27 00:00:00+00:00,37483
2024-01-28 00:00:00+00:00,37517
2024-01-29 00:00:00+00:00,37552
2024-01-30 00:00:00+00:00,37598
2024-01-31 00:00:00+00:00,37630
2024-02-01 00:00:00+00:00,37663
2024-02-02 00:00:00+00:00,37690
2024-02-03 00:00:00+00:00,37720
2024-02-04 00:00:00+00:00,37759
2024-02-05 00:00:00+00:00,37803
2024-02-06 00:00:00+00:00,37843
2024-02-07 00:00:00+00:00,37879
2024-02-08 00:00:00+00:00,37908
2024-02-09 00:00:00+00:00,37940
2024-02-10 00:00:00+00:00,37963
2024-02-11 00:00:00+00:00,37988
2024-02-12 00:00:00+00:00,38013
2024-02-13 00:00:00+00:00,38039
2024-02-14 00:00:00+00:00,38069
2024-02-15 00:00:00+00:00,38103
2024-02-16 00:00:00+00:00,38136
2024-02-17 00:00:00+00:00,38168
2024-02-18 00:00:00+00:00,38197
2024-02-19 00:00:00+00:00,38241
2024-02-20 00:00:00+00:00,38281
2024-02-21 00:00:00+00:00,38336
2024-02-22 00:00:00+00:00,38379
2024-02-23 00:00:00+00:00,38427
2024-02-24 00:00:00+00:00,38472
2024-02-25 00:00:00+00:00,38521
2024-02-26 00:00:00+00:00,38571
2024-02-27 00:00:00+00:00,38628
2024-02-28 00:00:00+00:00,38684
2024-02-29 00:00:00+00:00,38737
2024-03-01 00:00:00+00:00,38795
2024-03-02 00:00:00+00:00,38828
2024-03-03 00:00:00+00:00,38856
2024-03-04 00:00:00+00:00,38909
2024-03-05 00:00:00+00:00,38952
2024-03-06 00:00:00+00:00,39003
2024-03-07 00:00:00+00:00,39040
2024-03-08 00:00:00+00:00,39069
2024-03-09 00:00:00+00:00,39102
2024-03-10 00:00:00+00:00,39136
2024-03-11 00:00:00+00:00,39177
2024-03-12 00:00:00+00:00,39214
2024-03-13 00:00:00+00:00,39263
2024-03-14 00:00:00+00:00,39337
2024-03-15 00:00:00+00:00,39394
2024-03-16 00:00:00+00:00,39428
2024-03-17 00:00:00+00:00,39464
2024-03-18 00:00:00+00:00,39510
2024-03-19 00:00:00+00:00,39568
2024-03-20 00:00:00+00:00,39618
2024-03-21 00:00:00+00:00,39663
2024-03-22 00:00:00+00:00,39699
2024-03-23 00:00:00+00:00,39737
2024-03-24 00:00:00+00:00,39766
2024-03-25 00:00:00+00:00,39815
2024-03-26 00:00:00+00:00,39861
2024-03-27 00:00:00+00:00,39908
2024-03-28 00:00:00+00:00,39954
2024-03-29 00:00:00+00:00,40000
2024-03-30 00:00:00+00:00,40041
2024-03-31 00:00:00+00:00,40073
2024-04-01 00:00:00+00:00,40120
2024-04-02 00:00:00+00:00,40164
2024-04-03 00:00:00+00:00,40212
2024-04-04 00:00:00+00:00,40256
2024-04-05 00:00:00+00:00,40283
2024-04-06 00:00:00+00:00,40311
2024-04-07 00:00:00+00:00,40347
2024-04-08 00:00:00+00:00,40386
